BpS_Name,Model_Code
Rocky Mountain Subalpine-Montane Mesic Meadow,11450_22_24_28
Rocky Mountain Subalpine-Montane Mesic Meadow,11450_29
Rocky Mountain Subalpine-Montane Mesic Meadow,11450_9_10_19
Southern Rocky Mountain Montane-Subalpine Grassland,11460_15_16_23_24_25_28
Southern Rocky Mountain Montane-Subalpine Grassland,11460_26
Southern Rocky Mountain Montane-Subalpine Grassland,11460_27
Western Great Plains Foothill and Piedmont Grassland,11470_27_33
Western Great Plains Foothill and Piedmont Grassland,11470_28
Western Great Plains Sand Prairie,11480_20_29_30
Western Great Plains Sand Prairie,11480_31_38
Western Great Plains Sand Prairie,11480_32
Western Great Plains Sand Prairie,11480_34_35
Western Great Plains Shortgrass Prairie,11490_25
Western Great Plains Shortgrass Prairie,11490_26
Western Great Plains Shortgrass Prairie,11490_27_38
Western Great Plains Shortgrass Prairie,11490_28
Western Great Plains Shortgrass Prairie,11490_29
Western Great Plains Shortgrass Prairie,11490_31_33
Western Great Plains Shortgrass Prairie,11490_34_35
Western Great Plains Tallgrass Prairie,11500_31_39_40
Western Great Plains Tallgrass Prairie,11500_38
California Central Valley Riparian Woodland and Shrubland,11510_4_5
California Montane Riparian Systems,11520_2_3_7
California Montane Riparian Systems,11520_4_5
California Montane Riparian Systems,11520_6
Inter-Mountain Basins Greasewood Flat,11530_16_23_24_25_27
Inter-Mountain Basins Greasewood Flat,11530_20_22_29_30
Inter-Mountain Basins Greasewood Flat,11530_28
Inter-Mountain Basins Greasewood Flat,11530_6_10_12_13_17_18_19_21
Inter-Mountain Basins Greasewood Flat,11530_7_8_9
Inter-Mountain Basins Montane Riparian Systems,11540_1_7_8_9
Inter-Mountain Basins Montane Riparian Systems,11540_10_19
Inter-Mountain Basins Montane Riparian Systems,11540_13
Inter-Mountain Basins Montane Riparian Systems,11540_18
Inter-Mountain Basins Montane Riparian Systems,11540_6_12_16_17
North American Warm Desert Riparian Systems,11550_13_14
North American Warm Desert Riparian Systems,11550_15
North American Warm Desert Riparian Systems,11550_25
North American Warm Desert Riparian Systems,11550_26_35
North American Warm Desert Riparian Systems,11550_4
North American Warm Desert Riparian Systems - Stringers,11552_13_14_15
North Pacific Lowland Riparian Forest and Shrubland,11560_1_2_7
North Pacific Swamp Systems,11570_1_2
North Pacific Montane Riparian Woodland and Shrubland - Wet,11581_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Dry,11582_1_2_7
Rocky Mountain Montane Riparian Systems,11590_10_19
Rocky Mountain Montane Riparian Systems,11590_12_17
Rocky Mountain Montane Riparian Systems,11590_13
Rocky Mountain Montane Riparian Systems,11590_15
Rocky Mountain Montane Riparian Systems,11590_16_23_24_26
Rocky Mountain Montane Riparian Systems,11590_18
Rocky Mountain Montane Riparian Systems,11590_20
Rocky Mountain Montane Riparian Systems,11590_21
Rocky Mountain Montane Riparian Systems,11590_22
Rocky Mountain Montane Riparian Systems,11590_25
Rocky Mountain Montane Riparian Systems,11590_27_33
Rocky Mountain Montane Riparian Systems,11590_28
Rocky Mountain Montane Riparian Systems,11590_29
Rocky Mountain Montane Riparian Systems,11590_8_9
Rocky Mountain Subalpine/Upper Montane Riparian Systems,11600_10_19
Rocky Mountain Subalpine/Upper Montane Riparian Systems,11600_12_17
Rocky Mountain Subalpine/Upper Montane Riparian Systems,11600_15_28
Rocky Mountain Subalpine/Upper Montane Riparian Systems,11600_16
Rocky Mountain Subalpine/Upper Montane Riparian Systems,11600_18
Rocky Mountain Subalpine/Upper Montane Riparian Systems,11600_20_29
Rocky Mountain Subalpine/Upper Montane Riparian Systems,11600_21
Rocky Mountain Subalpine/Upper Montane Riparian Systems,11600_23
Rocky Mountain Subalpine/Upper Montane Riparian Systems,11600_8_9
Northern Rocky Mountain Conifer Swamp,11610_21
Northern Rocky Mountain Conifer Swamp,11610_9_10_19
Western Great Plains Floodplain Systems,11620_20
Western Great Plains Floodplain Systems,11620_22
Western Great Plains Floodplain Systems,11620_27_33
Western Great Plains Floodplain Systems,11620_29_30
Western Great Plains Floodplain Systems,11620_31_39_40
Western Great Plains Floodplain Systems,11620_32_35
Western Great Plains Floodplain Systems,11620_34
Western Great Plains Floodplain Systems,11620_38
Pacific Coastal Marsh Systems,11630_3_4_5
Northern Rocky Mountain Foothill Conifer Wooded Steppe,11650_1_7_8
Northern Rocky Mountain Foothill Conifer Wooded Steppe,11650_9
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,11660_21
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,11660_22
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,11660_29
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,11660_9_10_19
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland - Fire-maintained Savanna,11662_19
Rocky Mountain Poor-Site Lodgepole Pine Forest,11670_1_7_9
Rocky Mountain Poor-Site Lodgepole Pine Forest,11670_10_19
Rocky Mountain Poor-Site Lodgepole Pine Forest,11670_21
Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,11700_2_3_7
North Pacific Alpine and Subalpine Dry Grassland,11710_1
North Pacific Alpine and Subalpine Dry Grassland,11710_7
Sierran-Intermontane Desert Western White Pine-White Fir Woodland,11720_7
North Pacific Wooded Volcanic Flowage,11730_1_7
North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,11740_1_7
California Coastal Closed-Cone Conifer Forest and Woodland,11770_3
California Coastal Closed-Cone Conifer Forest and Woodland,11770_4
North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,11780_1_2_7
Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,11790_31
Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Low Elevation Woodland,11791_29_30
Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Savanna,11792_29_30
Boreal Aspen-Birch Forest,13010_40
Laurentian-Acadian Northern Hardwoods Forest,13020_40
Laurentian-Acadian Northern Hardwoods Forest,13020_63
Laurentian-Acadian Northern Hardwoods Forest,13020_64
Laurentian-Acadian Northern Hardwoods Forest,13020_65_66
Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51
Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51
Northeastern Interior Dry-Mesic Oak Forest,13030_60
Northeastern Interior Dry-Mesic Oak Forest,13030_61_63_64_65_66
Northeastern Interior Dry-Mesic Oak Forest,13030_62
Ozark-Ouachita Dry-Mesic Oak Forest,13040_32_43_44_49
Southern Interior Low Plateau Dry-Mesic Oak Forest,13050_47_48
Southern Interior Low Plateau Dry-Mesic Oak Forest,13050_49
Southern Interior Low Plateau Dry-Mesic Oak Forest,13050_53
East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland,13060_47_48
East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,13070_46_47_48
Crosstimbers Oak Forest and Woodland,13080_32_35
Crosstimbers Oak Forest and Woodland,13080_38_43_44
Southern Appalachian Northern Hardwood Forest,13090_53_57
North-Central Interior Dry-Mesic Oak Forest and Woodland,13100_38_42_43
North-Central Interior Dry-Mesic Oak Forest and Woodland,13100_39
North-Central Interior Dry-Mesic Oak Forest and Woodland,13100_41_62
North-Central Interior Dry-Mesic Oak Forest and Woodland,13100_44_50
North-Central Interior Dry-Mesic Oak Forest and Woodland,13100_47
North-Central Interior Dry-Mesic Oak Forest and Woodland,13100_49
North-Central Interior Dry-Mesic Oak Forest and Woodland,13100_51
North-Central Interior Dry-Mesic Oak Forest and Woodland,13100_52
North-Central Interior Dry Oak Forest and Woodland,13110_39
North-Central Interior Dry Oak Forest and Woodland,13110_42_43
North-Central Interior Dry Oak Forest and Woodland,13110_44
North-Central Interior Dry Oak Forest and Woodland,13110_49
North-Central Interior Dry Oak Forest and Woodland,13110_50
North-Central Interior Dry Oak Forest and Woodland,13110_51
North-Central Interior Dry Oak Forest and Woodland,13110_52
Ouachita Montane Oak Forest,13120_44
North-Central Interior Beech-Maple Forest,13130_47_50_51
North-Central Interior Beech-Maple Forest,13130_49_52_62
North-Central Interior Maple-Basswood Forest,13140_38_39_40_41_42_43_44_50
North-Central Interior Maple-Basswood Forest,13140_49
Southern Appalachian Oak Forest,13150_48_53_57_59_61
Southern Piedmont Mesic Forest,13160_54_57_59_61
Southern Piedmont Mesic Forest,13160_60
Allegheny-Cumberland Dry Oak Forest and Woodland,13170_48_53
Allegheny-Cumberland Dry Oak Forest and Woodland,13170_57_61
Allegheny-Cumberland Dry Oak Forest and Woodland,13170_62
Southern and Central Appalachian Cove Forest,13180_48_53
Southern and Central Appalachian Cove Forest,13180_57_59_61
Central and Southern Appalachian Montane Oak Forest,13200_48_57_61
South-Central Interior Mesophytic Forest,13210_47_48_53_57
South-Central Interior Mesophytic Forest,13210_49
South-Central Interior Mesophytic Forest,13210_61_63
South-Central Interior Mesophytic Forest,13210_62
Southern Crowley`s Ridge Mesic Loess Slope Forest,13220_45
West Gulf Coastal Plain Mesic Hardwood Forest,13230_32_36_37_44_45_98
Northern Atlantic Coastal Plain Hardwood Forest,13240_60_65_66
East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest,13250_46_47_48
South-Central Interior/Upper Coastal Plain Flatwoods,13260_47
South-Central Interior/Upper Coastal Plain Flatwoods,13260_49
East Gulf Coastal Plain Northern Loess Bluff Forest,13270_45_46_47
East Gulf Coastal Plain Limestone Forest,13280_46_99
East Gulf Coastal Plain Southern Loess Bluff Forest,13290_45_46_99
Southern Coastal Plain Dry Upland Hardwood Forest,13300_46_48_54_55_56_99
Eastern Great Plains Tallgrass Aspen Parkland,13310_39_40_41
South Florida Hardwood Hammock,13330_56
Ozark-Ouachita Mesic Hardwood Forest,13340_32_43_44
Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,13350_55_58_60
Southwest Florida Coastal Strand and Maritime Hammock,13360_56
Southeast Florida Coastal Strand and Maritime Hammock,13370_56
Central and South Texas Coastal Fringe Forest and Woodland,13380_36
West Gulf Coastal Plain Chenier and Upper Texas Coastal Fringe Forest and Woodland,13390_36_37_98
Appalachian Shale Barrens,13400_61
Piedmont Hardpan Woodland and Forest,13420_59
Atlantic Coastal Plain Mesic Hardwood Forest,13430_54_55
Atlantic Coastal Plain Mesic Hardwood Forest,13430_58_60
Boreal Jack Pine-Black Spruce Forest,13440_41
Boreal Jack Pine-Black Spruce Forest,13440_66
Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51
Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51
Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,13460_54_55_58
Atlantic Coastal Plain Upland Longleaf Pine Woodland,13470_55_58_60
West Gulf Coastal Plain Upland Longleaf Pine Forest and Woodland,13480_37_45_98
East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,13490_46_48_54_55_99
Central and Southern Appalachian Spruce-Fir Forest,13500_57
Central and Southern Appalachian Spruce-Fir Forest,13500_61
Southeastern Interior Longleaf Pine Woodland,13510_48_54_59
Southern Appalachian Montane Pine Forest and Woodland,13520_53_54_57_59_60_61
Southern Appalachian Low-Elevation Pine Forest,13530_46_48_53_54_57_59_60_61
Southern Appalachian Low-Elevation Pine Forest,13530_47
Northeastern Interior Pine Barrens,13540_64_66
Northern Atlantic Coastal Plain Pitch Pine Barrens,13550_60_65
Florida Longleaf Pine Sandhill,13560_55_56_99
Southern Coastal Plain Mesic Slope Forest,13570_46_47_55_58_99
East-Central Texas Plains Southern Pine Forest and Woodland,13580_35_36
South Florida Pine Rockland,13600_56
Central Atlantic Coastal Plain Maritime Forest,13610_58_60
Laurentian-Acadian Northern Pine(-Oak) Forest,13620_41_50
Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66
Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated,13622_41_50
Central Interior Highlands Dry Acidic Glade and Barrens,13630_47_53
Ozark-Ouachita Dry Oak Woodland,13640_32_44_49
Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_40_41_50
Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51
Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_41
Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51
Boreal White Spruce-Fir-Hardwood Forest - Aspen-Birch,13653_41
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_50
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66
Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland,13670_32_44
Southern Piedmont Dry Oak(-Pine) Forest,13680_46_48_54_57_59_60_61
Central Appalachian Dry Oak-Pine Forest,13690_60_61_63_64_65_66
Appalachian (Hemlock-)Northern Hardwood Forest,13700_53_61_62
Appalachian (Hemlock-)Northern Hardwood Forest,13700_60_63_64_65_66
West Gulf Coastal Plain Pine-Hardwood Forest,13710_32_36_37_45_98
West Gulf Coastal Plain Pine-Hardwood Forest,13710_44
East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,13720_46_99
Acadian Low-Elevation Spruce-Fir-Hardwood Forest,13730_63_64
Acadian Low-Elevation Spruce-Fir-Hardwood Forest,13730_65_66
Acadian-Appalachian Montane Spruce-Fir Forest,13740_64_65_66
Eastern Serpentine Woodland,13750_60
Southern Ridge and Valley/Cumberland Dry Calcareous Forest,13760_48_53_57_61
Central Appalachian Pine-Oak Rocky Woodland,13770_60_61_63_64_65_66
West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland,13780_37_44
Northern Atlantic Coastal Plain Maritime Forest,13790_60_65
East Gulf Coastal Plain Maritime Forest,13800_55_99
Lower Mississippi River Dune Woodland and Forest,13810_45
Southern Atlantic Coastal Plain Maritime Forest,13820_55_58
Edwards Plateau Limestone Savanna and Woodland,13830_32_35_36
Mississippi Delta Maritime Forest,13840_98
Western Great Plains Wooded Draw and Ravine,13850_20
Western Great Plains Wooded Draw and Ravine,13850_29_30
Western Great Plains Wooded Draw and Ravine,13850_31_39_40_42
Acadian-Appalachian Alpine Tundra,13860_66
Florida Peninsula Inland Scrub,13870_55_56
Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,13890_64_66
Tamaulipan Mixed Deciduous Thornscrub,13900_35_36
Tamaulipan Calcareous Thornscrub,13920_35
Tamaulipan Calcareous Thornscrub,13920_36
Edwards Plateau Limestone Shrubland,13930_26_34
Edwards Plateau Limestone Shrubland,13930_32_35
North-Central Interior Oak Savanna,13940_39_40_41
North-Central Interior Oak Savanna,13940_42
North-Central Interior Oak Savanna,13940_44_49
North-Central Interior Oak Savanna,13940_50_51
North-Central Interior Oak Savanna,13940_52
North-Central Oak Barrens,13950_41_42_43_49_52
North-Central Oak Barrens,13950_50
North-Central Oak Barrens,13950_51
Nashville Basin Limestone Glade and Woodland,13970_48
Central Appalachian Alkaline Glade and Woodland,14000_60_61
Central Appalachian Alkaline Glade and Woodland,14000_63
Central Appalachian Alkaline Glade and Woodland,14000_64
Central Interior Highlands Calcareous Glade and Barrens,14010_43_44_47_48_53
Central Interior Highlands Calcareous Glade and Barrens,14010_49
Laurentian Pine-Oak Barrens,14071_41_50_51
Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51
Alabama Ketona Glade and Woodland,14080_48
Great Lakes Alvar,14090_50_64
Llano Uplift Acidic Forest-Woodland-Glade,14100_35
Great Lakes Wet-Mesic Lakeplain Prairie,14110_49_51_52
North-Central Interior Sand and Gravel Tallgrass Prairie,14120_39_40_41_42_43_50_51
North-Central Interior Sand and Gravel Tallgrass Prairie,14120_49
North-Central Interior Sand and Gravel Tallgrass Prairie,14120_52
Bluegrass Savanna and Woodland,14130_47
Southern Appalachian Grass and Shrub Bald,14140_57
Arkansas Valley Prairie and Woodland - Prairie,14151_44
Arkansas Valley Prairie and Woodland - Woodland,14152_44
Western Highland Rim Prairie and Barrens,14160_48
Eastern Highland Rim Prairie and Barrens,14170_48
Pennyroyal Karst Plain Prairie and Barrens,14180_47
Northern Tallgrass Prairie,14200_39_40_42
Northern Tallgrass Prairie,14200_41
Central Tallgrass Prairie,14210_31_38_42_43_44_50_51
Central Tallgrass Prairie,14210_49_52
Southern Blackland Tallgrass Prairie,14220_32_35_36_37
Southeastern Great Plains Tallgrass Prairie,14230_32_35
Southeastern Great Plains Tallgrass Prairie,14230_38
Southeastern Great Plains Tallgrass Prairie,14230_43_44
Florida Dry Prairie,14250_56
Southern Atlantic Coastal Plain Dune and Maritime Grassland,14260_58
East Gulf Coastal Plain Jackson Plain Prairie and Barrens,14270_47
West Gulf Coastal Plain Northern Calcareous Prairie,14280_37_44
West Gulf Coastal Plain Southern Calcareous Prairie,14290_37_45
Southern Coastal Plain Blackland Prairie and Woodland,14300_46
Lower Mississippi Alluvial Plain Grand Prairie,14320_45
Texas-Louisiana Coastal Prairie,14340_36
Texas-Louisiana Coastal Prairie,14340_37_98
East Gulf Coastal Plain Dune and Coastal Grassland,14350_99
Northern Atlantic Coastal Plain Dune and Swale,14360_60
Northern Atlantic Coastal Plain Dune and Swale,14360_65_66
Central and Upper Texas Coast Dune and Coastal Grassland,14370_36
Tamaulipan Savanna Grassland,14380_36
South Texas Lomas,14390_36
Tamaulipan Clay Grassland,14400_36
South Texas Sand Sheet Grassland,14420_36
Eastern Boreal Floodplain,14440_41_50_51
South Florida Dwarf Cypress Savanna,14450_56
South Florida Pine Flatwoods,14460_56
South Florida Cypress Dome,14470_56
Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,14490_58_60
Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods,14500_55_58
West Gulf Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,14510_37_98
Atlantic Coastal Plain Peatland Pocosin and Canebrake,14520_58_60
Central Florida Pine Flatwoods,14530_55_56
East Gulf Coastal Plain Near-Coast Pine Flatwoods,14540_55_56_99
East Gulf Coastal Plain Southern Loblolly-Hardwood Flatwoods,14550_46_99
South-Central Interior/Upper Coastal Plain Wet Flatwoods,14570_47_48
South-Central Interior/Upper Coastal Plain Wet Flatwoods,14570_49
West Gulf Coastal Plain Pine-Hardwood Flatwoods,14580_37_44_45_98
Atlantic Coastal Plain Clay-Based Carolina Bay Wetland,14590_58
Southern Coastal Plain Nonriverine Cypress Dome,14600_55_56_99
Southern Coastal Plain Seepage Swamp and Baygall,14610_46_55_56_99
Great Lakes Wooded Dune and Swale,14660_49
Great Lakes Wooded Dune and Swale,14660_50_51
Tamaulipan Floodplain,14670_36
Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,14680_46_55_58_99
Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,14680_60
Eastern Great Plains Floodplain Systems,14690_31_39_40_43
Eastern Great Plains Floodplain Systems,14690_38_42_49
Caribbean Coastal Wetland Systems,14700_56
Central Interior and Appalachian Floodplain Systems,14710_32_35
Central Interior and Appalachian Floodplain Systems,14710_41_50
Central Interior and Appalachian Floodplain Systems,14710_42_43
Central Interior and Appalachian Floodplain Systems,14710_44
Central Interior and Appalachian Floodplain Systems,14710_47_48_53_54_57_59_60_61_63
Central Interior and Appalachian Floodplain Systems,14710_49_52
Central Interior and Appalachian Floodplain Systems,14710_51_62
Central Interior and Appalachian Floodplain Systems,14710_64_65
Central Interior and Appalachian Floodplain Systems - Large Floodplains,14712_44
Central Interior and Appalachian Riparian Systems,14720_32_35
Central Interior and Appalachian Riparian Systems,14720_44_46_47_48
Central Interior and Appalachian Riparian Systems,14720_49
Central Interior and Appalachian Riparian Systems,14720_53_54_57_59_60
Central Interior and Appalachian Riparian Systems,14720_61_62_63
Central Interior and Appalachian Riparian Systems,14720_64_65_66
Gulf and Atlantic Coastal Plain Floodplain Systems,14730_32_37_44
Gulf and Atlantic Coastal Plain Floodplain Systems,14730_36
Gulf and Atlantic Coastal Plain Floodplain Systems,14730_45_46_47_98_99
Gulf and Atlantic Coastal Plain Floodplain Systems,14730_55_58_60
Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,14740_32_37_44_45_98
Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,14740_36
Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,14740_46_47_48_55_56_58_60_99
Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66
Tamaulipan Riparian Systems,14760_36
Boreal Acidic Peatland Systems,14770_40_41_50_51
Boreal Acidic Peatland Systems,14770_63_64_65_66
Caribbean Swamp Systems,14780_56
Central Interior and Appalachian Swamp Systems,14790_41_42_47_48_50_51_53
Central Interior and Appalachian Swamp Systems,14790_52_62
Central Interior and Appalachian Swamp Systems,14790_60_61_63_64_65_66
Gulf and Atlantic Coastal Plain Swamp Systems,14800_36_37_44
Gulf and Atlantic Coastal Plain Swamp Systems,14800_45_98
Gulf and Atlantic Coastal Plain Swamp Systems,14800_46_56_58_60_64_65_66
Gulf and Atlantic Coastal Plain Swamp Systems,14800_47
Gulf and Atlantic Coastal Plain Swamp Systems,14800_55_99
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63
Great Plains Prairie Pothole,14820_30
Great Plains Prairie Pothole,14820_39_40
South Florida Everglades Sawgrass Marsh,14830_56
East Gulf Coastal Plain Savanna and Wet Prairie,14850_55_99
Texas-Louisiana Saline Coastal Prairie,14860_36
Eastern Great Plains Wet Meadow-Prairie-Marsh,14880_38_42_43
Floridian Highlands Freshwater Marsh,14890_55_56_99
Gulf and Atlantic Coastal Plain Tidal Marsh Systems,14900_36
Gulf and Atlantic Coastal Plain Tidal Marsh Systems,14900_37_98
Gulf and Atlantic Coastal Plain Tidal Marsh Systems,14900_55_56_58_99
Gulf and Atlantic Coastal Plain Tidal Marsh Systems,14900_60
Gulf and Atlantic Coastal Plain Tidal Marsh Systems,14900_65_66
Great Lakes Coastal Marsh Systems,14920_41_50_51_52_63
Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,14930_41_42_44_50
Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,14930_52_62
Laurentian-Acadian Shrub-Herbaceous Wetland Systems,14940_41_50_51
Laurentian-Acadian Shrub-Herbaceous Wetland Systems,14940_63_65_66
Laurentian-Acadian Shrub-Herbaceous Wetland Systems,14940_64
Western Great Plains Depressional Wetland Systems,14950_20
Western Great Plains Depressional Wetland Systems,14950_27_33
Western Great Plains Depressional Wetland Systems,14950_30
Western Great Plains Depressional Wetland Systems,14950_31_39_40
Western Great Plains Depressional Wetland Systems,14950_35
Western Great Plains Depressional Wetland Systems,14950_36
Western Great Plains Depressional Wetland Systems,14950_38
Western Great Plains Depressional Wetland Systems - Playa,14951_26_34
Western Great Plains Depressional Wetland Systems - Saline,14952_34
Central Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,15010_58_60
Chihuahuan Loamy Plains Desert Grassland,15030_25_27
Chihuahuan Loamy Plains Desert Grassland,15030_26
Chihuahuan-Sonoran Desert Bottomland and Swale Grassland,15040_25_27
Chihuahuan-Sonoran Desert Bottomland and Swale Grassland,15040_32_35
Chihuahuan-Sonoran Desert Bottomland and Swale Grassland - Tobosa Grassland,15041_26_34
Chihuahuan-Sonoran Desert Bottomland and Swale Grassland - Alkali Sacaton,15042_26_34
West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods,15060_37_44
Ozark-Ouachita Shortleaf Pine-Bluestem Woodland,15070_44
Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,15090_45_47
Northern Crowley`s Ridge Sand Forest,15100_45
Lower Mississippi River Flatwoods,15130_45
Paleozoic Plateau Bluff and Talus,15170_42_49_50
North-Central Interior Wet Flatwoods,15180_43_47_49_52_62_63_64_65
East-Central Texas Plains Post Oak Savanna and Woodland,15190_32_35_36_37
Edwards Plateau Dry-Mesic Slope Forest and Woodland,15230_32_35
Edwards Plateau Mesic Canyon,15240_35
Edwards Plateau Riparian,15250_35
Laurentian-Acadian Swamp Systems,15260_64_65_66
Hawaii Freshwater Marsh,18040_79
Hawaii Bog,18060_79
Hawaii Lowland Rainforest,18080_79
Hawaii Montane Cloud Forest,18090_79
Hawaii Montane Rainforest,18100_79
Hawaii Wet Cliff and Ridge Crest Shrubland,18110_79
Hawaii Lowland Dry Forest,18130_79
Hawaii Lowland Mesic Forest,18140_79
Hawaii Montane-Subalpine Dry Forest and Woodland - Lava,18151_79
Hawaii Montane-Subalpine Mesic Forest,18160_79
Hawaii Lowland Dry Shrubland,18170_79
Hawaii Lowland Mesic Shrubland,18180_79
Hawaii Lowland Dry Grassland,18190_79
Hawaii Lowland Mesic Grassland,18200_79
Hawaii Montane-Subalpine Dry Shrubland,18210_79
Hawaii Montane-Subalpine Dry Grassland,18220_79
Hawaii Montane-Subalpine Mesic Grassland,18230_79
Hawaii Alpine Dwarf-Shrubland,18240_79
Hawaii Dry Cliff,18250_79
Hawaii Dry Coastal Strand,18260_79
Hawaii Wet-Mesic Coastal Strand,18270_79
Hawaii Subalpine Mesic Shrubland,18280_79
